,id,fecha,variedad,contenido_graso,contenido_graso_seco,humedad,maquinaria,criba,temperatura_masa,talco,bomba_masa,agua_martillo,agua_batidora,agua_bomba,chapa,graso_orujo,observaciones,operario
0,15,2024-11-18,ARBEQUINA,16.63,36.98020902824105,55.03,SPI-7,5,27.5,1.5,48,0,0,80,R132.5,3,ACEITUNAS VERDES-AMARILLAS EN BUEN ESTADO PERO ALGUNAS MUY POCO DESARROLLADAS,
1,26,2024-11-16,PICUAL,18.76,38.29352929169219,51.01,SPI-7,6,27,1.5,38,0,0,0,R132.5,2.74,HABRÍA ADMITIDO MEJOR LA R131,
2,25,2024-11-16,CORNICABRA,21.96,44.82547458665034,51.01,SPI-7,6,27,1.5,30,0,0,0,R137,2.87,"ACEITUNAS VERDE-AMARILLO, ALGUNAS EN ENVERO, POCAS MORADAS Y NEGRAS",
3,29,2024-10-30,ARBEQUINA,18.75,41.38159346722577,54.69,SPI-7,5,27,1.5,50,0,0,150,"R132,5",2.72,VERDES 70% ENVERO 30% TAMAÑOS MUY VARIABLES. ADMITIRÍA LA R134,
4,16,2024-10-21,ARBEQUINA,13.45,31.71421834473002,57.59,SPI-7,5,27.5,1.5,48,0,0,80,R131,2.65,ACEITUNAS VERDES-AMARILLAS EN BUEN ESTADO,
5,28,2023-10-28,ARBEQUINA,18.33,39.925942060553254,54.09,SPI-7,5,27,1,42,0,0,50,"R132,5",2.68,VERDES 60% ENVERO 40% TAMAÑOS MUY VARIABLES,
6,27,2023-10-25,ARBEQUINA,18.55,39.74716091707735,53.33,SPI-7,5,27,1,40,0,0,0,R134,2.74,VERDES 65% ENVERO 35% TAMAÑOS MUY VARIABLES,
7,13,2020-11-06,ARBEQUINA,17.3,36.467116357504224,52.56,SPI-7,5,27,1.5,42,0,0,0,R135.5,2.74,ACEITUNAS VERDES- AMARILLAS Y ALGUNAS EN ENVERO. EN BUEN ESTADO. MOLIDAS TRAS 12 HORAS DE TOLVA.,
8,14,2020-10-23,ARBEQUINA,16.54,35.62351927632995,53.57,SPI-7,5,24,1.5,40,0,0,130,R132.5,2.99,"ACEITUNAS VERDES-AMRILLAS Y POCAS EN ENVERO. EN BUEN ESTADO. SINCALEFACCIÓN Y BATIENDO EN 1,5 CUERPOS",
9,20,2019-11-25,PICUAL,22.49,43.82307092751364,48.68,SPI-7,6,27,1.5,45,0,0,0,R135.5,2.82,PICUALES MADURAS CON ALTA HUMEDAD,
10,11,2019-10-21,ARBEQUINA,17.86,37.46591147472205,52.33,SPI-7,5,25,1.5,42,0,0,80,R134,2.87,ACEITUNAS VERDES- AMARILLAS Y ALGUNAS EN ENVERO. EN BUEN ESTADO.,
11,19,2018-11-26,PICUAL,25.43,45.54083094555874,44.16,SPI-7,6,27,1.5,47,0,0,250,R137,2.58,"PICUALES CON HUMEDAD NORMAL, EN ENVERO",
12,22,2018-11-18,PICUAL,20.29,44.50537398552313,54.41,SPI-7,6,27,2,42,0,0,0,R132.5,2.69,ADMITIRÍA MEJOR LA CHAPA R131,
13,10,2018-11-12,ARBEQUINA,18.63,37.651576394502825,50.52,SPI-7,5,27,1.5,46,0,0,150,R135.5,2.89,,
14,21,2017-11-15,PICUAL,23.34,49.11616161616161,52.48,SPI-7,6,27,1.5,42,0,0,0,R131,3,"PICUALES CON MUCHA HUMEDAD, VERDES Y EN ENVERO",
15,8,2009-11-18,ARBEQUINA,20.19,37.22345132743363,45.76,SPI-7,5,27,1,42,0,0,220,R139,2.84,,
16,18,2009-02-13,PICUAL,22.59,38.45760980592441,41.26,SPI-7,6,32,1,43,50,250,280,R143,2.44,PICUALES CON UN % GRANDE DE ARRUGADAS POR LAS HELADAS Y SECAS. EL RESTO TAMBIÉN ARRUGADAS.,
17,24,2009-02-08,CORNICABRA,27.6,46.15384615384616,40.2,SPI-7,6,32,1,43,0,0,0,R143,2.48,"ACEITUNAS MUY MADURAS, FRESCAS QUE SE HABÍAN HELADO Y SE HAN VUELTO A ESTIRAR",
18,9,2008-11-25,ARBEQUINA,21.39,39.523281596452335,45.88,SPI-7,5,27,1,43,0,0,250,R139,2.74,"ACEITUNAS EN PUNTO ÓPTIMO DE MADURACIÓN, DAÑOS LEVES POR HELADAS, PEQUEÑO PORCENTAJE PRESENTAN DAÑOS MÁS SEVEROS.",
19,23,2008-01-20,CORNICABRA,27.3,46.19289340101523,40.9,SPI-7,6,32,1,43,0,200,250,R143,2.6,"ACEITUNAS MUY MADURAS, DEL DÍA Y ALGO ARRUGADAS POR LAS HELADAS",
20,17,2007-12-18,PICUAL,24,40.677966101694906,41,SPI-7,6,29,1,42,0,250,250,R139,3,"PICUALES MADURAS, FRESCAS Y ARRUGADAS POR LAS HELADAS",
21,7,2007-11-24,ARBEQUINA,24.3,41.25636672325977,41.1,SPI-7,5,32,1,42,0,0,290,R139,2.97,ACEITUNAS MADURAS BASTANTE HELADAS DE HACE PODO TIEMPO (AÚN NO ESTÁN TOTALMENTE SECAS),
